Year,Dollars.2023
1989,2.453333333
1990,2.314465409
1991,2.23030303
1992,2.164705882
1993,2.102857143
1994,2.044444444
1995,1.989189189
1996,1.936842105
1997,1.887179487
1998,1.858585859
1999,1.821782178
2000,1.76076555
2001,1.711627907
2002,1.688073394
2003,1.650224215
2004,1.6069869
2005,1.552742616
2006,1.502040816
2007,1.46031746
2008,1.409961686
2009,1.415384615
2010,1.388679245
2011,1.347985348
2012,1.318996416
2013,1.300353357
2014,1.282229965
2015,1.277777778
2016,1.264604811
2017,1.239057239
2018,1.206557377
2019,1.187096774
2020,1.171974522
2021,1.118541033
