Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,2017,2018,2019,2020,2021
Uzbekistan,Afghanistan,Import,  All Products,Import (US$ Thousand),1243.007,888.177,2061.62298,1136.45299,5863.84065
Uzbekistan,Albania,Import,  All Products,Import (US$ Thousand),5.447,11.456,,0.292,40.425
Uzbekistan,Algeria,Import,  All Products,Import (US$ Thousand),17.261,3.564,0.175,25.618,2492.469
Uzbekistan,American Samoa,Import,  All Products,Import (US$ Thousand),2.48,0.028,138.397,17.949,5.415
Uzbekistan,Andorra,Import,  All Products,Import (US$ Thousand),,,41.172,,
Uzbekistan,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),,24.768,,,13.04
Uzbekistan,Argentina,Import,  All Products,Import (US$ Thousand),17851.642,14147.385,14499.08599,14869.775,54784.75298
Uzbekistan,Armenia,Import,  All Products,Import (US$ Thousand),2231.692,2471.058,2510.08799,2832.98399,2810.81696
Uzbekistan,Australia,Import,  All Products,Import (US$ Thousand),495.494,351.577,2855.385,12454.295,8201.77199
Uzbekistan,Austria,Import,  All Products,Import (US$ Thousand),53005.88,100154.349,119564.0217,96934.07683,95093.01649
Uzbekistan,Azerbaijan,Import,  All Products,Import (US$ Thousand),3018.024,8771.256,18848.966,28692.13498,42487.50602
Uzbekistan,"Bahamas, The",Import,  All Products,Import (US$ Thousand),,81.336,,,
Uzbekistan,Bahrain,Import,  All Products,Import (US$ Thousand),,,0.334,0.404,
Uzbekistan,Bangladesh,Import,  All Products,Import (US$ Thousand),11342.12399,14468.516,16799.65872,16165.09916,18357.97426
Uzbekistan,Barbados,Import,  All Products,Import (US$ Thousand),,,,,4.839
Uzbekistan,Belarus,Import,  All Products,Import (US$ Thousand),152125.361,373451.318,279599.9569,214735.5597,314173.6701
Uzbekistan,Belgium,Import,  All Products,Import (US$ Thousand),46422.334,56867.25,82088.76917,45858.3802,59483.93791
Uzbekistan,Benin,Import,  All Products,Import (US$ Thousand),,,36.041,,
Uzbekistan,Bolivia,Import,  All Products,Import (US$ Thousand),,,0.055,0.452,0.75
Uzbekistan,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),4.429,14.023,22.73599,35.205,101.118
Uzbekistan,Brazil,Import,  All Products,Import (US$ Thousand),320923.329,50725.053,115503.8378,89122.53884,318618.5461
Uzbekistan,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),,,14.67,64.29,6.261
Uzbekistan,British Virgin Islands,Import,  All Products,Import (US$ Thousand),,,38.687,140.706,
Uzbekistan,Brunei,Import,  All Products,Import (US$ Thousand),,,,,0.111
Uzbekistan,Bulgaria,Import,  All Products,Import (US$ Thousand),12956.456,17549.057,23392.68493,23184.16687,26879.89999
Uzbekistan,Cambodia,Import,  All Products,Import (US$ Thousand),24.479,50.723,55.43098,52.377,110.82698
Uzbekistan,Cameroon,Import,  All Products,Import (US$ Thousand),,,,,28.003
Uzbekistan,Canada,Import,  All Products,Import (US$ Thousand),12479.062,3800.979,8799.10098,11916.48995,11529.89274
Uzbekistan,Central African Republic,Import,  All Products,Import (US$ Thousand),3.971,,,,
Uzbekistan,Chad,Import,  All Products,Import (US$ Thousand),0.01,,,,
Uzbekistan,Chile,Import,  All Products,Import (US$ Thousand),354.705,267.379,392.32799,224.774,286.42498
Uzbekistan,China,Import,  All Products,Import (US$ Thousand),2703982.13,3539487.744,5052436.029,4444361.966,4879497.082
Uzbekistan,Cocos (Keeling) Islands,Import,  All Products,Import (US$ Thousand),,,0.793,,
Uzbekistan,Colombia,Import,  All Products,Import (US$ Thousand),38.824,6.436,17.838,49.46899,49.943
Uzbekistan,Comoros,Import,  All Products,Import (US$ Thousand),,,,0.44,
Uzbekistan,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),18.794,8.15,3.49,,
Uzbekistan,Costa Rica,Import,  All Products,Import (US$ Thousand),43.527,535.187,106.281,68.354,131.09699
Uzbekistan,Cote d'Ivoire,Import,  All Products,Import (US$ Thousand),29.866,33.626,84.103,69.759,629.74299
Uzbekistan,Croatia,Import,  All Products,Import (US$ Thousand),461.426,169.207,376.696,110.914,627.736
Uzbekistan,Cuba,Import,  All Products,Import (US$ Thousand),0.573,6.187,11791.59198,17.13,18.198
Uzbekistan,Cyprus,Import,  All Products,Import (US$ Thousand),20452.539,879.624,1011.779,9193.58,494.539
Uzbekistan,Czech Republic,Import,  All Products,Import (US$ Thousand),78926.148,63921.82699,147431.5577,456709.9643,131063.5551
Uzbekistan,Denmark,Import,  All Products,Import (US$ Thousand),17306.981,15611.512,61108.62191,33876.07192,16826.88172
Uzbekistan,Dominican Republic,Import,  All Products,Import (US$ Thousand),1.22,0.342,32.076,0.054,13.41
Uzbekistan,East Timor,Import,  All Products,Import (US$ Thousand),0.365,,,,
Uzbekistan,Ecuador,Import,  All Products,Import (US$ Thousand),10505.431,13440.543,31477.34598,24959.33698,28160.84998
Uzbekistan,"Egypt, Arab Rep.",Import,  All Products,Import (US$ Thousand),8213.801,4865.498,16842.83697,1693.44894,2152.49546
Uzbekistan,El Salvador,Import,  All Products,Import (US$ Thousand),91.611,6.034,41.808,,11.385
Uzbekistan,Estonia,Import,  All Products,Import (US$ Thousand),31552.301,24056.641,47348.72394,41822.71397,41546.25458
Uzbekistan,Eswatini,Import,  All Products,Import (US$ Thousand),,0.009,,0.059,3.898
Uzbekistan,Ethiopia(excludes Eritrea),Import,  All Products,Import (US$ Thousand),13.382,35.906,1.45,0.203,13.524
Uzbekistan,Faeroe Islands,Import,  All Products,Import (US$ Thousand),,,,74.858,120.337
Uzbekistan,Finland,Import,  All Products,Import (US$ Thousand),25826.387,29777.822,44776.59888,48288.76585,49089.64166
Uzbekistan,France,Import,  All Products,Import (US$ Thousand),102748.408,110452.257,134378.2005,129425.646,321361.9215
Uzbekistan,Gabon,Import,  All Products,Import (US$ Thousand),11.247,15.685,,3.82,36.69
Uzbekistan,Georgia,Import,  All Products,Import (US$ Thousand),26217.6,47881.548,92701.1199,73053.39981,94308.3726
Uzbekistan,Germany,Import,  All Products,Import (US$ Thousand),574130.056,699127.71,884163.7931,693239.5858,657412.9629
Uzbekistan,Ghana,Import,  All Products,Import (US$ Thousand),22.478,180.192,274.741,905.856,2012.903
Uzbekistan,Gibraltar,Import,  All Products,Import (US$ Thousand),,54.254,,,
Uzbekistan,Greece,Import,  All Products,Import (US$ Thousand),24035.54,4452.355,7145.05699,7492.45,15315.60486
Uzbekistan,Greenland,Import,  All Products,Import (US$ Thousand),,,,,7.549
Uzbekistan,Grenada,Import,  All Products,Import (US$ Thousand),,0.082,,,
Uzbekistan,Guatemala,Import,  All Products,Import (US$ Thousand),54.686,353.323,495.293,447.755,204.302
Uzbekistan,Guinea,Import,  All Products,Import (US$ Thousand),,,0.24,,
Uzbekistan,Guinea-Bissau,Import,  All Products,Import (US$ Thousand),,,,1.664,
Uzbekistan,Guyana,Import,  All Products,Import (US$ Thousand),,,,8.861,0.174
Uzbekistan,Honduras,Import,  All Products,Import (US$ Thousand),1.6,0.69,4.82,165.082,109.531
Uzbekistan,"Hong Kong, China",Import,  All Products,Import (US$ Thousand),17835.717,19496.11,56940.48857,49502.27951,41903.35074
Uzbekistan,Hungary,Import,  All Products,Import (US$ Thousand),53884.789,47783.876,70381.7928,108853.5646,113552.7959
Uzbekistan,Iceland,Import,  All Products,Import (US$ Thousand),10.328,32.489,92.568,28.799,1.796
Uzbekistan,India,Import,  All Products,Import (US$ Thousand),275527.796,252025.936,319153.7753,420415.3493,460334.2104
Uzbekistan,Indonesia,Import,  All Products,Import (US$ Thousand),7512.25299,10769.274,20226.38881,17449.63882,16455.13382
Uzbekistan,"Iran, Islamic Rep.",Import,  All Products,Import (US$ Thousand),57050.38242,133069.605,203436.5814,107703.6566,254488.3182
Uzbekistan,Iraq,Import,  All Products,Import (US$ Thousand),97.685,,2154.725,1238.193,2155.345
Uzbekistan,Ireland,Import,  All Products,Import (US$ Thousand),21157.552,21297.063,29691.15293,30838.44095,41722.91292
Uzbekistan,Israel,Import,  All Products,Import (US$ Thousand),25877.658,32591.543,28051.33897,34282.71496,18243.01431
Uzbekistan,Italy,Import,  All Products,Import (US$ Thousand),147848.953,267443.741,364337.4637,324954.9678,388277.2908
Uzbekistan,Jamaica,Import,  All Products,Import (US$ Thousand),0.145,15.558,3.932,1.988,17.617
Uzbekistan,Japan,Import,  All Products,Import (US$ Thousand),140891.818,683597.992,381283.0985,198709.1692,156786.8154
Uzbekistan,Jordan,Import,  All Products,Import (US$ Thousand),749.884,1360.421,995.41599,1956.54199,736.59399
Uzbekistan,Kazakhstan,Import,  All Products,Import (US$ Thousand),975266.796,1537807.282,1897813.583,2108337.837,2712125.441
Uzbekistan,Kenya,Import,  All Products,Import (US$ Thousand),4571.444,2817.279,6312.81799,5478.127,4053.07799
Uzbekistan,"Korea, Dem. Rep.",Import,  All Products,Import (US$ Thousand),0.059,,3.604,0.9,229.815
Uzbekistan,"Korea, Rep.",Import,  All Products,Import (US$ Thousand),1155100.42,1936176.83,2524586.335,1938067.507,1744954.043
Uzbekistan,Kuwait,Import,  All Products,Import (US$ Thousand),41.037,112.738,78.961,14.133,6.09
Uzbekistan,Kyrgyz Republic,Import,  All Products,Import (US$ Thousand),72604.958,126950.488,124214.5859,138376.3141,157411.8502
Uzbekistan,Lao PDR,Import,  All Products,Import (US$ Thousand),,21.424,,67.909,0.249
Uzbekistan,Latvia,Import,  All Products,Import (US$ Thousand),203000.308,382475.966,310104.0644,326596.7457,170569.7726
Uzbekistan,Lebanon,Import,  All Products,Import (US$ Thousand),0.037,170.276,6.815,166.052,822.935
Uzbekistan,Liberia,Import,  All Products,Import (US$ Thousand),,,,,0.076
Uzbekistan,Lithuania,Import,  All Products,Import (US$ Thousand),257824.5283,276546.217,441930.8921,471655.1743,442322.2841
Uzbekistan,Luxembourg,Import,  All Products,Import (US$ Thousand),369.463,3300.692,,9648.36088,2801.02831
Uzbekistan,Macao,Import,  All Products,Import (US$ Thousand),,,7146.82297,2.387,
Uzbekistan,Madagascar,Import,  All Products,Import (US$ Thousand),1.345,4.249,9.829,4.398,8.82219
Uzbekistan,Malawi,Import,  All Products,Import (US$ Thousand),205.444,371.273,143.703,350.007,33.37
Uzbekistan,Malaysia,Import,  All Products,Import (US$ Thousand),57677.082,67648.484,105952.0978,62978.0128,58023.06515
Uzbekistan,Maldives,Import,  All Products,Import (US$ Thousand),,,110.208,64,
Uzbekistan,Mali,Import,  All Products,Import (US$ Thousand),,,1.882,475.183,0.007
Uzbekistan,Malta,Import,  All Products,Import (US$ Thousand),245.007,524.522,8.85,745.22999,429.829
Uzbekistan,Mauritania,Import,  All Products,Import (US$ Thousand),,0.836,,1.553,0.108
Uzbekistan,Mauritius,Import,  All Products,Import (US$ Thousand),2.604,1.114,,0.046,24.299
Uzbekistan,Mexico,Import,  All Products,Import (US$ Thousand),4080.047,7304.716,99264.60592,18171.39482,17261.81647
Uzbekistan,Moldova,Import,  All Products,Import (US$ Thousand),7953.046,3001.971,2490.62798,4049.41297,6651.07547
Uzbekistan,Mongolia,Import,  All Products,Import (US$ Thousand),44.647,182.436,518.929,128.006,88.132
Uzbekistan,Montenegro,Import,  All Products,Import (US$ Thousand),40.245,,,,
Uzbekistan,Morocco,Import,  All Products,Import (US$ Thousand),643.09,793.742,1243.94797,1252.29297,1133.14121
Uzbekistan,Mozambique,Import,  All Products,Import (US$ Thousand),1478.561,837.882,1840.47599,1692.48699,1522.28699
Uzbekistan,Myanmar,Import,  All Products,Import (US$ Thousand),10.879,11.25,66.197,338.051,117.27399
Uzbekistan,Namibia,Import,  All Products,Import (US$ Thousand),,0.234,,,0.19
Uzbekistan,Nauru,Import,  All Products,Import (US$ Thousand),,,0.069,,
Uzbekistan,Nepal,Import,  All Products,Import (US$ Thousand),79.665,,287.638,7.411,16.25
Uzbekistan,Netherlands,Import,  All Products,Import (US$ Thousand),71568.34796,133320.201,120481.9762,166181.5279,211397.1376
Uzbekistan,New Caledonia,Import,  All Products,Import (US$ Thousand),,0.068,,,
Uzbekistan,New Zealand,Import,  All Products,Import (US$ Thousand),1990.246,1248.446,1550.276,1872.64399,1937.201
Uzbekistan,Nicaragua,Import,  All Products,Import (US$ Thousand),1.58,3.864,,2.104,6.064
Uzbekistan,Nigeria,Import,  All Products,Import (US$ Thousand),1.65,2.03,2.394,,
Uzbekistan,North Macedonia,Import,  All Products,Import (US$ Thousand),83.751,1.779,217.511,99.628,28.951
Uzbekistan,Norway,Import,  All Products,Import (US$ Thousand),1618.132,1728.051,3448.733,3256.13,4408.04299
Uzbekistan,Occ.Pal.Terr,Import,  All Products,Import (US$ Thousand),0.261,,0.913,17.7,
Uzbekistan,Oman,Import,  All Products,Import (US$ Thousand),0.265,0.027,88.122,5.415,9.205
Uzbekistan,"Other Asia, nes",Import,  All Products,Import (US$ Thousand),11856.517,22486.578,17407.79286,12148.13281,23358.06239
Uzbekistan,Pakistan,Import,  All Products,Import (US$ Thousand),24705.273,63645.48599,22663.6288,24052.12983,50728.83763
Uzbekistan,Panama,Import,  All Products,Import (US$ Thousand),,30,,,1.114
Uzbekistan,Paraguay,Import,  All Products,Import (US$ Thousand),0.004,,,22.387,30.11899
Uzbekistan,Peru,Import,  All Products,Import (US$ Thousand),69.735,64.062,18.795,237.435,58.185
Uzbekistan,Philippines,Import,  All Products,Import (US$ Thousand),378.457,1395.827,980.98197,2283.98299,2463.02798
Uzbekistan,Poland,Import,  All Products,Import (US$ Thousand),68669.739,120885.78,121596.2086,128998.8091,159575.5007
Uzbekistan,Portugal,Import,  All Products,Import (US$ Thousand),7653.807,1682.344,2518.66192,3292.09896,4887.01492
Uzbekistan,Qatar,Import,  All Products,Import (US$ Thousand),,,2389.96099,348.284,6.932
Uzbekistan,Romania,Import,  All Products,Import (US$ Thousand),17773.232,21008.259,30138.61181,16890.68688,18507.84916
Uzbekistan,Russian Federation,Import,  All Products,Import (US$ Thousand),2563929.924,3382612.003,3974192.82,4085814.332,5350475.739
Uzbekistan,Rwanda,Import,  All Products,Import (US$ Thousand),,,,,1.397
Uzbekistan,San Marino,Import,  All Products,Import (US$ Thousand),13.918,9.101,15.674,62.503,
Uzbekistan,Sao Tome and Principe,Import,  All Products,Import (US$ Thousand),,,,,0.019
Uzbekistan,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1832.187,6846.926,24869.07398,8582.38198,9096.40795
Uzbekistan,Senegal,Import,  All Products,Import (US$ Thousand),,,0.93,,2.65
Uzbekistan,"Serbia, FR(Serbia/Montenegro)",Import,  All Products,Import (US$ Thousand),1593.734,2119.196,5496.844,7685.81599,7660.37541
Uzbekistan,Seychelles,Import,  All Products,Import (US$ Thousand),,,,,1.473
Uzbekistan,Sierra Leone,Import,  All Products,Import (US$ Thousand),,,0.571,,
Uzbekistan,Singapore,Import,  All Products,Import (US$ Thousand),2959.817,7548.462,127087.9499,23655.25897,5958.07287
Uzbekistan,Slovak Republic,Import,  All Products,Import (US$ Thousand),9611.416,9303.11,8970.10596,11063.61597,15171.73073
Uzbekistan,Slovenia,Import,  All Products,Import (US$ Thousand),24806.232,34562.267,44726.25491,56945.57392,75784.61392
Uzbekistan,Somalia,Import,  All Products,Import (US$ Thousand),,0.015,0.065,,
Uzbekistan,South Africa,Import,  All Products,Import (US$ Thousand),966.334,3805.236,12661.512,1876.92999,3621.3515
Uzbekistan,Spain,Import,  All Products,Import (US$ Thousand),80680.692,51961.678,80570.31049,52144.83653,151443.8234
Uzbekistan,Sri Lanka,Import,  All Products,Import (US$ Thousand),1157.734,880.431,2180.81598,1516.66699,1887.37758
Uzbekistan,Sudan,Import,  All Products,Import (US$ Thousand),1.217,83.956,10.914,,74206.16651
Uzbekistan,Suriname,Import,  All Products,Import (US$ Thousand),,,,33.325,0.058
Uzbekistan,Sweden,Import,  All Products,Import (US$ Thousand),35610.41,16674.198,20622.35788,27398.20125,24640.93439
Uzbekistan,Switzerland,Import,  All Products,Import (US$ Thousand),130389.541,145337.237,132116.1253,96817.53079,134400.9587
Uzbekistan,Syrian Arab Republic,Import,  All Products,Import (US$ Thousand),3.645,2,52.5,21.5,27.719
Uzbekistan,Tajikistan,Import,  All Products,Import (US$ Thousand),49089.53,144348.906,144285.6469,95683.91995,98093.02083
Uzbekistan,Tanzania,Import,  All Products,Import (US$ Thousand),210.192,62.988,259.212,0.222,0.38299
Uzbekistan,Thailand,Import,  All Products,Import (US$ Thousand),6874.339,15569.177,22560.96677,108006.1019,35478.95836
Uzbekistan,Tokelau,Import,  All Products,Import (US$ Thousand),0.096,,,,
Uzbekistan,Trinidad and Tobago,Import,  All Products,Import (US$ Thousand),1.581,,1.392,,0.138
Uzbekistan,Tunisia,Import,  All Products,Import (US$ Thousand),145.559,195.109,85.32997,126.97398,316.54951
Uzbekistan,Turkey,Import,  All Products,Import (US$ Thousand),594460.6112,1098346.28,1296307.848,1076603.292,1661623.256
Uzbekistan,Turkmenistan,Import,  All Products,Import (US$ Thousand),105423.211,237798.273,401272.0328,396674.1358,688907.997
Uzbekistan,Turks and Caicos Isl.,Import,  All Products,Import (US$ Thousand),64.051,,,63.402,259
Uzbekistan,Uganda,Import,  All Products,Import (US$ Thousand),1417.852,153.833,247.407,,324.247
Uzbekistan,Ukraine,Import,  All Products,Import (US$ Thousand),182983.77,326245.776,263899.2662,314267.5344,472739.343
Uzbekistan,United Arab Emirates,Import,  All Products,Import (US$ Thousand),55316.45799,56342.185,93165.04013,59925.47257,124208.1149
Uzbekistan,United Kingdom,Import,  All Products,Import (US$ Thousand),66124.398,36762.997,62360.04208,24770.97739,48633.54262
Uzbekistan,United States,Import,  All Products,Import (US$ Thousand),148630.491,314019.975,498020.7962,212146.9639,282946.2146
Uzbekistan,Unspecified,Import,  All Products,Import (US$ Thousand),618.181,11971.097,44188.614,15064.53597,3773.90241
Uzbekistan,Uruguay,Import,  All Products,Import (US$ Thousand),71.806,48.909,4.27,,
Uzbekistan,Vanuatu,Import,  All Products,Import (US$ Thousand),,3.615,,,
Uzbekistan,Venezuela,Import,  All Products,Import (US$ Thousand),0.252,,,,0.001
Uzbekistan,Vietnam,Import,  All Products,Import (US$ Thousand),12210.675,25787.32999,59708.39637,72907.93304,118289.2423
Uzbekistan,Wallis and Futura Isl.,Import,  All Products,Import (US$ Thousand),,0.215,,,
Uzbekistan,Zambia,Import,  All Products,Import (US$ Thousand),0.144,0.016,,,
Uzbekistan,Zimbabwe,Import,  All Products,Import (US$ Thousand),2497.368,1041.2,1621.53998,1457.30099,667.067
