"","lon","lat","area","colors"
"Amazonia",-59.1445203030727,-8.07497058233511,1128.96897743225,"green4"
"Arabia.Sahara",25.4303441756065,21.5430095301727,842.325773106814,"#6A3D9A"
"C.America",-99.2452508307541,21.8137676491399,217.467278546095,"#FF7F00"
"Carribbean",-75.2997599012218,20.3145867434734,19.2734344756601,"gold1"
"Eurasian.Palearctic",80.2941756403963,59.2676691377353,3955.81977126002,"#FB9A99"
"Hawaii",-156.352749829796,20.2529001255052,1.45679650262564,"blue1"
"Iberia.N.Africa",-0.0907667820180423,30.8718970465855,346.606705632209,"palegreen2"
"Middle.East",62.2236610751938,39.8597374681669,836.620738158227,"#FDBF6F"
"N.North.America",-112.358542353863,63.9579505676073,1518.38661604046,"gray70"
"N.Pacific",133.41536386319,37.2379724557877,63.7686801290506,"khaki2"
"NE.North.America",-58.7869251900861,62.4075537022946,1270.70525917164,"darkturquoise"
"S.Cone.Pacific",73.0497295443207,-23.6212723858975,1450.71264866353,"darkorange4"
"SE.Asia",98.4877811746272,31.5736425811038,1409.79168640852,"#BDCDFF"
"SE.North.America",-91.3900046249189,33.4609044296109,221.601005916778,"#FA0087"
"Subsaharan.Africa",20.5978228719516,-2.3220725210687,1602.87720135331,"#2ED9FF"
"W.North.America",-116.366544432096,44.7891446010056,460.953935382148,"#E31A1C"
