"parameter","ancova.pF","ancova.SS","ancova.r2part"
"Full Interaction",NA,NA,NA
"Phylogeo*Exotics",0.509489042430723,0.145633611347062,0.00178963213954126
"Phylogeography",1.65338523689824e-09,15.4229138506419,0.189525907221428
"Exotic Trees",0.00306524815910187,3.09611720704702,0.0380469234420989
"Trade",9.00498554342206e-15,30.1232572822939,0.370172440835726
"Climate",0.0311196213184158,1.59759703917481,0.0196322193818952
"Continent",0.00395020587639635,4.78892411072328,0.0588491380739719
"Total",NA,81.3762829406901,1
"Fixed",NA,55.174443101228,0.678016261094661
