"parameter","glm.delta.AIC","chisq","glm.pchisq","r2"
"Full Interaction",NA,NA,NA,0.0853541928387269
"Phylogeo*Exotics",0,9.19129932531246,0.0100956598768104,-0.0050507625078231
"Exotic Trees",5.19129932531246,18.6221440588119,9.04175629147224e-05,0.0067500424811322
"Phylogeography",3.52039316055783,18.2930502235665,1.89396863466273e-05,0.0938544367138975
"Trade",19.8134433841244,202.692420209131,5.39889243120269e-46,0.432385917403334
"Climate",220.505863593256,166.875227642696,3.56192059006372e-38,0.086337692431002
"Continent",385.381091235951,27.6174075281109,1.47842257720685e-07,0.12112621570807
"Fixed",NA,NA,NA,0.604077802673063
"Total",NA,NA,NA,0.725204018381133
