"parameter","glm.delta.AIC","glm.pchisq","efron_R2_partial","zinf_R2_partial"
"Full Interaction",NA,NA,0.0422432755407058,0.00957438945437927
"Phylogeo*Exotics",0,0.00132234666515579,0.0157657829588936,0.00438357250024635
"Phylogeography",9.67429725125385,0.0696920799229964,0.0726922521882237,0.00743372752513105
"Exotic Trees",11.6200928649604,0.815902459527817,0.0155420767488768,0.000956623361628828
"Trade",10.9645550300055,1.60963584886802e-52,0.461536527318639,0.255697178798389
"Climate",241.571946364203,5.59511303514723e-39,0.0954646672748497,0.0142114389565059
"Continent",410.127592940209,2.36799216095931e-09,0.125160173108263,0.667254089425254
"Fixed",NA,NA,0.599244470134194,0.279483007209274
"Total",NA,NA,0.724404643242458,0.946737096634529
